consultant_id,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite indicative declarative clause,finite subjunctive declarative clause,"2. Finite d-linked constituent interrogative clause:
",3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,6. Finite non-d-linked constituent interrogative clause with main clause syntax,7. finite polar interrogative clause with main clause syntax,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,Intransitive use
cat1,informar,inform,communication,always veridical,neither,neither,neither (subj)/always projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,*,*,???,?,*,*/compatible,*,compatible,not having an intransitive use
cat1,N/A,tell,communication,,,,,,,,,,,,,,,,,,,,,,compatible,,,,,,,,,,,,,,
cat1,xiuxiuejar,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,*,*,compatible,*,*,compatible,compatible,*,*,compatible,having an intransitive use
cat1,escriure,write,communication: manner of saying,neither (note),neither,neither,neither (subj)/typically projective (ind),non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not-focus sensitive (see partial-utterances scenarios),non-gradable,always belief implying,non-gradable,neither,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,*,compatible,compatible,*,*,compatible,having an intransitive use
cat1,decidir,decide,decision,neither,neither,neither,neither,non-neg-raising,tipically,incompatible (note),compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,?,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
cat1,exigir,demand,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible (note),compatible,typically,compatible,compatible,always,incompatible,incompatible,focus-sensitive,undecided,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,???,???,*,*,*,not having an intransitive use
cat1,ordenar,order,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible (note),compatible,typically,compatible,compatible,always,incompatible,incompatible,focus-sensitive,ungradable,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,?,?,*,*,*,not having an intransitive use
cat1,proposar,propose,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,compatible,compatible (note),compatible,always,incompatible,incompatible,focus-sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,compatible,compatible,*/?,*,*,not having an intransitive use
cat1,estar d'acord,agree (with each other),doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus sensitive,non-gradable,always belief implying,gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,?,?,?,?,?,compatible,*,compatible,?,?,?,?,compatible,having an intransitive use
cat1,suposar,assume** (look at note excel),doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not-focus sensitive,non-gradable,always belief implying,non-gradable,neither,Typically Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,??,??,compatible,*,*,*,*,*,*,compatible,not having an intransitive use
cat1,estar segur,be certain,doxastic,typically veridical,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus sensitive,gradable,always belief implying,gradable,typically Q-to-P veridical,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,compatible,?,compatible,*,compatible,compatible,?,?,?,compatible,not having an intransitive use
cat1,estar convençut,be convinced,doxastic,typically veridical,neither,neither,neither (subj)/typically projective (ind),non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus sensitive,gradable,always belief implying,gradable,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,?,*,compatible,*,compatible,compatible,?,?,*,compatible,not having an intransitive use
cat1,desconèixer,be unaware,doxastic,always veridical,contradictory,redundant,neither (subj)/typically projective (ind),non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral between belief and ignorance,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,?,compatible,compatible,compatible,compatible,compatible,*,?,compatible,?,*,*,compatible,not having an intransitive use
cat1,creure,believe,doxastic,neither,neither,neither,neither,neg-raising (see notes (ind/subj)),always,incomp,incomp,incompatible,incompatible,always,compatible,compatible,typical,not-focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,compatible,*,*,*,*,*,*,*,compatible,*,*,*,*,*,not having an intransitive use
cat1,N/A,expect,doxastic,,,,,,,,,,,,,,,,,,,,,,compatible,,,,,,,,,,,,,,
cat1,saber,know,doxastic,always veridical,contradictory,redundant ,always projective ,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not-focus sensitive,non-gradable,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,*,compatible,compatible,not having an intransitive use
cat1,sospitar,suspect,doxastic,neither,neither,neither,neither (subj)/always projective (ind),non-neg-raising (subj and ind),always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,not-focus sensitive,gradable,always belief implying,undecided,neither,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,*,*,compatible,*,compatible,*,*,*,*,???,not having an intransitive use
cat1,pensar,think,doxastic,neither,neither,neither,neither (subj)/always projective (ind),non-neg-raising (ind)/ typically neg-raising (subj),always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not-focus sensitive,undecided,N/A/neutral between belief and ignorance(prog) (see note),N/A/undecided(prog),N/A/neither(prog),N/A/Q-to-P non distributive (prog),N/A/P-to-Q non distributive (prog),compatible,*,*/?(prog),*/?(prog),*/?(prog),*/?(prog),compatible/compatible (prog),*,compatible,compatible/compatible (prog),compatible/compatible(prog),compatible/compatible(prog),compatible/compatible(prog),*,not having an intransitive use
cat1,tenir raó,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,undecided,always (see note),incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,always belief implying,ungradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,??,compatible,compatible,compatible,?,compatible,*,??,?,compatible,???,???,compatible,having an intransitive use
cat1,equivocar-se,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,undecided,always (see note),incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided,always belief implying,gradable,Q-to-P anti-veridical,Q-to-P distributive,P-to-Q distributive,compatible,?,compatible,compatible,compatible,compatible,compatible,*,?,compatible,compatible,*,*,compatible,having an intransitive use
cat1,oblidar,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,compatible,focus-sensitive,ungradable,neutral between belief and ignorance,ungradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,?,*,compatible,compatible,compatible,*,*,compatible,not having an intransitive use
cat1,aprendre,learn,doxastic: change of state,typically veridical (see note),neither (see note),neither (see note),typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,ungradable,always belief implying,ungradable,typically Q-to-P veridical,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,*,*,compatible,not having an intransitive use
cat1,dubtar,doubt,dubitative,neither,neither,neither,neither,neg-raising,incompatible,typically,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,gradable,neutral between belief and ignorance,gradable (see note),Q-to-P anti-veridical,Q-to-P non distributive,P-to-Q non distributive,??,compatible,?,*,compatible,compatible,*,*,?,??,??,compatible,compatible,*,not having an intransitive use
cat1,estar content,be happy,emotive factive,always veridical,contradictory,redundant,always projective (ind/subj),non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus-sensitive,gradable,always belief implying,gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,?,compatible,compatible,?,*,*,*,*,compatible,?,??,*,*,compatible,having an intransitive use
cat1,estar sorprès,be surprised,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,always belief implying,gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,?,compatible,compatible,compatible,???,*,*,*,compatible,*,*,*,*,compatible,not having an intransitive use
cat1,lamentar,regret,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,gradable,always belief implying.,gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,*,compatible,?,?,*,*,compatible,*,compatible,*,*,*,*,compatible,not having an intransitive use
cat1,preguntar,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,non-gradable,N/A,N/A,N/A,*,compatible,compatible,compatible,compatible,compatible,*,*,?,?,compatible,??,?,compatible,not having an intransitive use
cat1,tenir curiositat,be curious,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance implying,gradable,N/A,N/A,N/A,*,compatible,compatible,?,compatible,compatible,?,*,compatible,???,??,*,*,compatible,not having an intransitive use (see note)
cat1,indagar,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance implying,undecided,N/A,N/A,N/A,*,*,compatible,compatible,compatible,compatible,compatible,*,*,compatible,compatible,compatible,compatible,compatible,not having an intransitive use
cat1,investigar,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,typically ignorance-implying,undecided (note),N/A,N/A,N/A,*,*,compatible,compatible,compatible,compatible,compatible,*,*,compatible,compatible,compatible,compatible,compatible,not having an intransitive use
cat1,preguntar-se,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ignorance-implying,non-gradable,N/A,N/A,N/A,*,*,compatible,compatible,compatible,compatible,compatible,*,* (note),compatible,compatible,?,compatible,compatible,not having an intransitive use
cat1,veure,see,perception,always veridical,contradictory,redundant,always projective (ind)/typically reversive (subj),non-neg-raising(ind)/ neg-raising (subj),always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus-sensitive,non-gradable,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,*,?,?,*,*,compatible,not having an intransitive use 
cat1,importar,care,predicates of relevance,typically veridical (see note),contradictory,redundant,typically projective,non-neg-raising,compatible,compatible,compatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,typically ignorance-implying (see note),gradable,neither,Q-to-P non distributive,P-to-Q non distributive (see note),*,compatible,compatible,compatible,compatible,compatible,?,*,compatible,compatible,compatible,??,?,compatible,not having an intransitive use
cat1,demostrar,prove,ratification,always veridical,contradictory,redundant,neither(subj)/always projective(ind),non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,undecided (see note),non-gradable,always belief implying,non-gradable,Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,???,???,*,*,compatible,not having an intransitive use
cat1,dir,say,,typically veridical,neither,neither,neither (subj)/always projective (ind),non-neg-raising (see note),typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus-sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,Q-to-P distributive,typically P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,?,?,compatible,not having an intransitive use
cat1,assumir,assume,doxastic + emotional reading,typically veridical,neither,neither,always projective (ind/subj),non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,typically,compatible,not-focus sensitive,undecided,always belief implying,non-gradable,neither,Q-to-P distributive,P-to-Q distributive,compatible,?,compatible,compatible,*,*,*,*,compatible,?,??,*,*,compatible,not having an intransitive use
cat1,preveure,expect,doxastic reading,neither,neither,neither,neither,typically neg-raising (see note),always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not-focus sensitive,ungradable,always belief implying (see note),non-gradable,neither,Q-to-P distributive ,P-to-Q distributive ,compatible,compatible,compatible,compatible,compatible,compatible,compatible,*,compatible,compatible,compatible,?,compatible,compatible,not having an intransitive use
