language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the complement,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,gradability ex,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,concealed q,Intransitive use
Dutch,nld001,mededelen,assert,communication,typically veridical,neither,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,nld001,beweren,claim,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,,typically belief-implying,undecided,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(er),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Dutch,nld001,klagen,complain,communication,typically veridical,neither,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,focus sensitive,gradable,,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(over),*(over),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,*(over),unacceptable,*(over),acceptable
Dutch,nld001,uitleggen,explain,communication,always veridical,contradictory,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,nld001,inlichten,inform,communication,typically veridical,neither,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,?(over),acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,*(over),unacceptable
Dutch,nld001,vertellen,tell ,communication,typically veridical,neither,redundant,typically projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,,typically belief-implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,nld001,fluisteren,whisper,communication: manner of saying,neither,neither,redundant,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,?(RECIPIENT),unacceptable,acceptable,acceptable
Dutch,nld001,schrijven,write,communication: manner of saying,typically veridical,neither,redundant,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,,typically belief-implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,nld001,besluiten,decide,decision,typically veridical,neither,redundant,typically projective,typically neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,nld001,eisen,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Dutch,nld001,bevelen,order,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,*(RECIPIENT),*(RECIPIENT),unacceptable,acceptable
Dutch,nld001,voorstellen,propose,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,,neutral between belief and ignorance,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,nld001,het eens zijn,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(over),*(over),*(over),unacceptable,unacceptable,*(om),acceptable,acceptable,*(over),acceptable
Dutch,nld001,aannemen,assume,doxastic,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,?,?,acceptable,unacceptable
Dutch,nld001,er zeker van zijn,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,undecided,undecided
Dutch,nld001,ervan overtuigd zijn,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
Dutch,nld001,zich er onbewust van zijn,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,acceptable,undecided
Dutch,nld001,geloven,believe,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
Dutch,nld001,verwachten,expect,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,gradable,,always belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,??,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Dutch,nld001,weten,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,nld001,vermoeden,suspect,doxastic,neither,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,,typically belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,nld001,denken,think,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
Dutch,nld001,gelijk hebben,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,,typically belief-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(over),*(over),*(over),*(over),unacceptable,unacceptable,*(om),*(over),*(over),*(over),acceptable
Dutch,nld001,ongelijk hebben,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically belief-implying,non-gradable,Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(over),*(over),*(over),*(over),unacceptable,unacceptable,*(om),*(over),*(over),*(over),acceptable
Dutch,nld001,vergeten,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,typically ignorance implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,nld001,leren,learn,doxastic: change of state,neither,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,,typically belief-implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,nld001,bewijfelen,doubt,dubitative,neither,neither,neither,typically projective,non-neg-raising,incompatible,typically,compatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,,typically ignorance implying,undecided,typically Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,nld001,Blij zijn,be happy,emotive factive,always veridical,neither,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(over),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,*(over),acceptable
Dutch,nld001,verbaasd zijn,be surprised,emotive factive,always veridical,neither,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(over),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,*(over),acceptable
Dutch,nld001,betreuren,regret,emotive factive,always veridical,neither,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(er),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,nld001,vragen,ask,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,typically ignorance implying,non-gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,*(RECIPIENT),acceptable,acceptable,acceptable,unacceptable
Dutch,nld001,nieuwsgierig zijn,be curious,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,always ignorance-implying,gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,*(naar),acceptable
Dutch,nld001,navragen,inquire,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,typically belief-implying,non-gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable
Dutch,nld001,onderzoeken,investigate,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,typically belief-implying,undecided,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable
Dutch,nld001,zich afvragen,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,always ignorance-implying,gradable,N/A,N/A,N/A,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,nld001,zien,see,perception,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,nld001,Het interesseert iem.,care (it interests sb ...),predicates of relevance,always veridical,neither,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,,typically belief-implying,gradable,typically Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,nld001,bewijzen,prove,ratification,always veridical,neither,redundant,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,undecided,,always belief-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
