language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,P-to-Q distributivity
Hebrew,litʔon,assert,communication,neither,neither,neither,neither,non-neg-raising,typically,comptible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,depends,incompatible,incompatible,incompatible,incompatible,incompatible,not having an intransitive use
Hebrew,same as assert,claim,communication,neither,neither,neither,neither,non-neg-raising,typically,comptible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,depends,incompatible,incompatible,incompatible,incompatible,incompatible,not having an intransitive use
Hebrew,lehitlonén,complain,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,focus sensitive,gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
Hebrew,lehasbír,explain,communication,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
Hebrew,lejadéa,inform,communication,always veridical,contradictory,redundant,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,lesapér,tell ,communication,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible (a different translation of tell is compatible),compatible,compatible,compatible,compatible,compatible,not having an intransitive use
Hebrew,lilxóʃ,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
Hebrew,lixtóv,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
Hebrew,lehaxlít,decide 'make a decision',decision,typically veridical,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
Hebrew,lidróʃ,demand,directive,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,not focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,incompatible,incompatible,compatible,not having an intransitive use
Hebrew,leʦavót,order,directive,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,incompatible,incompatible,incompatible,not having an intransitive use
Hebrew,lehaʦia,propose,directive,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral between belief and ignorance,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,incompatible,incompatible,compatible,having an intransitive use
Hebrew,lehaskím,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,typically veridical,neither,neither,neither,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,lehaníax,assume,doxastic,neither,neither,neither,neither,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,not having an intransitive use
Hebrew,batúax,be certain,doxastic,neither,neither,neither,neither,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,meʃuxná,be convinced,doxastic,neither,neither,neither,neither,non-neg raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,ló mudá,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible (with preposition),compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
Hebrew,lehaʔmín,believe,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,having an intransitive use
Hebrew,leʦapót,expect,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,not having an intransitive use
Hebrew,ladáat,know,doxastic,typically veridical,neither,neither,typically projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
Hebrew,laxʃód,suspect,doxastic,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,not focus sensitive,gradable,always ignorance-implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,having an intransitive use
Hebrew,laxʃóv,think,doxastic,neither,neither,neither,neither,non-neg raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,ʦodék,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief implying (with preposition),gradable (with preposition),always Q-to-P veridical (with preposition),always Q-to-P distributive (with preposition),always P-to-Q distributive (with preposition),compatible,legabéj required,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,litʔót,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,non-neg raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,always belief implying (with preposition),gradable (with preposition),Q-to-P anti-veridical (with preposition),always Q-to-P distributive (with preposition),always P-to-Q distributive (with preposition),compatible,legabéj required,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,liʃkóax,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
Hebrew,lilmód,learn,doxastic: change of state,typically veridical,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
Hebrew,safék,doubt,dubitative,neither,neither,neither,neither,always neg-raising,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,always ignorance-implying (with preposition),gradable (with preposition),neither (with preposition),Q-to-P non-distributive (with preposition),P-to-Q non-distributive (with preposition),compatible,legabéj required,incompatible,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,saméax,be happy,emotive factive,typically veridical,neither,neither,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief implying (with preposition),gradable (with preposition),always Q-to-P veridical (with preposition),always Q-to-P distributive (with preposition),typically P-to-Q distributive (with preposition),compatible,legabéj required,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
Hebrew,muftá,be surprised,emotive factive,typically veridical,neither,neither,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,typically Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
Hebrew,lehitxarét (something the subject did),regret,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
Hebrew,liʃʔól,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,incompatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,al required,having an intransitive use
Hebrew,sakrán,be curious,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,same as ask,inquire,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,incompatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,al required,having an intransitive use
Hebrew,laxkór,investigate,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,non-gradable,,,,incompatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
Hebrew,lithót,wonder,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,incompatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
Hebrew,lirʔót,see,perception,typically veridical,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
Hebrew,ixpát,care,predicates of relevance,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,"neutral between
belief and ignorance",gradable,"typically Q-to-P
veridical",always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,incompatible*,incompatible,incompatible,incompatible,incompatible,compatible (preposition mi- 'from'),having an intransitive use
Hebrew,lehoxíax,prove,ratification,always veridical,contradictory,redundant,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,not having an intransitive use
