language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,finite declarative clause: to,finite declarative clause: no,finite declarative clause: koto,finite declarative clause: tokoro,finite declarative clause: hoo,Finite d-linked constituent interrogative clause: to,Finite d-linked constituent interrogative clause: ka,finite non-d-linked constituent interrogative clause: to,finite non-d-linked constituent interrogative clause: ka,finite polar interrogative clause: to,finite polar interrogative clause: ka,finite alternative interrogative clause: to,finite alternative interrogative clause: ka,non-finite declarative clause without subject,concealed q
Japanese,書く kak-u,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,??,acceptable,"compatible
",acceptable,"acceptable
",acceptable,"acceptable
",acceptable,"acceptable
",acceptable,acceptable,acceptable,acceptable,acceptable
Japanese,決める  kime-ru,decide,decision,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,unacceptable,acceptable,unacceptable,acceptable,"unacceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
Japanese,要求する yookyuu suru,demand,directive,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,,,,,unacceptable,"acceptable
",acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Japanese,命令する meeree suru,order,directive,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,,,,,,unacceptable,"acceptable
",acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Japanese,提案する teean suru,propose,directive,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,"acceptable
",acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,acceptable,acceptable
Japanese,一致する itti suru,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,neutral,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,unacceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,unacceptable,??
Japanese,仮定する katee suru,assume,doxastic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,"acceptable
","acceptable
",unacceptable,acceptable,unacceptable,acceptable
Japanese,確信する kakusin suru,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus-sensitive,undecided,always belief-implying,undecided,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,unacceptable,acceptable
Japanese,確信する kakusin suru,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus-sensitive,undecided,always belief-implying,undecided,neither,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,unacceptable,acceptable
Japanese,知らない sir-ana-i,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided,neutral,gradable,always veridical,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,??,unacceptable,acceptable,unacceptable,acceptable,"acceptable
",acceptable,unacceptable,acceptable,unacceptable,acceptable
Japanese,信じる sinzi-ru,believe,doxastic,neither,neither,neither,neither,typicalle neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,non-focus-sensitive,undecided,,,,,,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,"acceptable
",unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Japanese,期待する kitai suru,expect,doxastic,neither,neither,neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus-sensitive,gradable,,,,,,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Japanese,知っている sit-tei-ru,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,always belief-implying,non-gradable,always veridical,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,??,unacceptable,acceptable,unacceptable,acceptable,"acceptable

",acceptable,unacceptable,acceptable,unacceptable,acceptable
Japanese,疑う utaga-u,suspect,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided,neutral,undecided,neutral,Q-to-P non-distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
Japanese,思う omo-u,think,doxastic,neither,neither,neither,neither,typicalle neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,non-focus-sensitive,non-gradable,,,,,,unacceptable,acceptable,acceptable,"acceptable
",incompatible,unacceptable,acceptable,unacceptable,acceptable,unacceptable,"acceptable

",unacceptable,acceptable,unacceptable,acceptable,unacceptable
Japanese,正しい tadasi-i,be right,doxastic evaluative,,,,,,,,,,,,,,,,,,,,,,acceptable,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Japanese,間違う matiga-u,be wrong,doxastic evaluative,,,,,,,,,,,,,,,,,,,,,,acceptable,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Japanese,忘れる forget,forget,doxastic: change of state,typically veridical,neither,"neither
",typically projective,non-neg-raising,comaptible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,always ignorance-implying,non-gradable,always veridical,always Q-to-P distributive,always P-to-Q distributive,unacceptable,unacceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,"acceptable
",unacceptable,acceptable,unacceptable,acceptable
Japanese,知る sir-u,learn,doxastic: change of state,typically veridical,"neither
","neither
",neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,non-gradable,always belief-implying,non-gradable,neutral,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable
Japanese,疑う utaga-u,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,undecided,,,,,,,acceptable,acceptable,acceptable,incompatible,acceptable,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,unacceptable,incompatible
Japanese,嬉しい uresi-i,be happy,emotive factive,typically veridical,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus-sensitive,gradable,always belief-implying,gradable,neutral,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,incompatible,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,"acceptable
",unacceptable,acceptable,unacceptable,unacceptable
Japanese,驚く odorok-u,be surprised,emotive factive,neither,neither,"neither
",neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus-sensitive,gradable,always belief-implying,gradable,neutral,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,incompatible,acceptable,acceptable,acceptable,acceptable,acceptable,"acceptable

",acceptable,unacceptable,??,unacceptable,acceptable
Japanese,後悔する kookai suru,regret,emotive factive,neither,neither,"neither
",typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus-sensitive,gradable,always belief-implying,gradable,always veridical,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,acceptable,?,acceptable,acceptable?,"acceptable

",?,unacceptable,?,unacceptable,?
Japanese,聞く kik-u　訊く,,inquisitive,neither,neither,neither,neither,non-neg-raising,comaptible,comaptible,comaptible,comaptible,comaptible,comaptible,comaptible,comaptible,comaptible,focus-sensitive,non-gradable,neutral,non-gradable,,,,unacceptable,acceptable,acceptable,"acceptable
",incompatible,unacceptable,acceptable,acceptable,acceptable,acceptable,"acceptable
",acceptable,acceptable,acceptable,unacceptable,acceptable
Japanese,興味を持つ kyoomi-o mot-u,be curious,inquisitive,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,neutral,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,acceptable,acceptable,acceptable,acceptable,??,acceptable,acceptable,acceptable,unacceptable,acceptable
Japanese,尋ねる tazune-ru,inquire,inquisitive,,,,,,,,,,,,,,,,,neutral,non-gradable,,,,unacceptable,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
Japanese,調べる sirabe-ru,investigate,inquisitive,,,,,,,,,,,,,,,,,neutral,non-gradable,,,,unacceptable,unacceptable,unacceptable,unacceptable,incompatible,unacceptable,unacceptable,acceptable,unacceptable,acceptable,"unacceptable
",acceptable,unacceptable,acceptable,unacceptable,acceptable
Japanese,不思議に思う husigi-ni omo-u,wonder,inquisitive,neither,neither,"neither
",neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,neutral,gradable,netural,Q-to-P non-distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,compatible,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
Japanese,見る mi-ru,see,perception,typically veridical,"neither
","neither
",neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,,,,unacceptable,"acceptable
",acceptable,"acceptable 
",compatible,"acceptable
",unacceptable,acceptable,unacceptable,acceptable,"acceptable
","acceptable
",unacceptable,acceptable,unacceptable,acceptable
Japanese,気にする ki-ni suru,care,predicates of relevance,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus-sensitive,gradable,neutral,gradable,neutral,Q-to-P non-distributive,P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
Japanese,証明する syoomei suru,prove,ratification,"neither
","neither
",neither,neither,non-neg-raising,comaptible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus-sensitive,non-gradable,neutral,non-gradable,neutral,always Q-to-P distributive,always P-to-Q distributive,unacceptable,acceptable,acceptable,acceptable,incompatible,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,acceptable
