language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,finite declerative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,concealed q,intransitive use
French,dire,tell ,communication,neither,neither,neither,typically projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,polarity sensitive,polarity sensitive,TBC,TBC,TBC: preposition?,acceptable,acceptable,acceptable,unacceptable
French,chuchoter,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,TBC,TBC,TBC,TBC,TBC: preposition?,acceptable,recipient required,acceptable,acceptable
French,écrire,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,?,acceptable,polarity sensitive,polarity sensitive,TBC,TBC,acceptable,acceptable,?,acceptable,acceptable
French,décider,decide,decision,typically veridical,neither,redundant,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,TBC,TBC,de required,acceptable,unacceptable (TBC,de required,unacceptable
French,exiger,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable
French,ordonner,order,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable
French,proposer,propose,directive,neither,neither,neither,neither,non-neg-raising,incompatible,compatible,compatible,incompatible,compatible,compatible,typically,compatible,compatible,focus sensitive,undecided,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable
French,être d'accord avec qqun,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,undecided,always belief-implying,undecided,neither,always Q-to-P distributive,always P-to-Q distributive,?,unacceptable,sur required,sur required,sur required,sur required,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
French,supposer,assume,doxastic,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,?,unacceptable,unacceptable,unacceptable,unacceptable
French,être certain(e),be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,undecided,,,,,,acceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable,de required,de required,de required,de required,unacceptable
French,être convaincu,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,undecided,,,,,,acceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,de required,acceptable
French,ignorer,be unaware,doxastic,always veridical,contradictory,neither,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always ignorance-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
French,croire,believe,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
French,s'attendre,expect,doxastic,neither,neither,neither,typically projective,always neg-raising,typically,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,,,,,,unacceptable,acceptable,unacceptable,?,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
French,savoir,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable
French,soupçonner,suspect,doxastic,neither,neither,neither,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,,,,,,acceptable,unacceptable,?,?,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
French,penser,think,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
French,avoir raison,be right ,doxastic evaluative,,,,,,,,,,,,,,,,,always belief-implying,,,,,unacceptable,unacceptable,sur required ,sur required ,sur required ,sur required ,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
French,avoir tort,be wrong,doxastic evaluative,,,,,,,,,,,,,,,,,always belief-implying,,,,,unacceptable,unacceptable,sur required ,sur required ,sur required ,sur required ,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
French,oublier,forget,doxastic: change of state,always veridical,contradictory,neither,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,typically ignorance-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
French,apprendre,learn,doxastic: change of state,always veridical,contradictory,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,,,unacceptable,unacceptable,acceptable,acceptable,?,acceptable,unacceptable
French,douter,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,?,acceptable
French,être heureux,be happy,emotive factive,typically veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,de required,acceptable
French,être surpris,be surprised,emotive factive,typically veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,de required,acceptable
French,regretter,regret,emotive factive,typically veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,incompatible,always,incompatible,focus sensitive,gradable,,,,,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,acceptable,acceptable
French,demander,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,TBC,acceptable,acceptable,acceptable,unacceptable
French,être curieux (de savoir),be curious,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,unacceptable,unacceptable,de required,de required,de required,de required,unacceptable,unacceptable,de required,de required,unacceptable,de required,acceptable
French,demander,inquire,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,TBC,acceptable,acceptable,acceptable,unacceptable
French,enqûeter,investigate,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,undecided,,,,unacceptable,unacceptable,sur required,sur required,sur required,sur required,unacceptable,unacceptable,unacceptable,sur required,unacceptable,sur required,acceptable
French,se demander,wonder,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable
French,voir,see,perception,always veridical,contradictory,neither,always projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,TBC,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable
French,se soucier,care,predicates of relevance,,,,,,,,,,,,,,,,,neutral between belief and ignorance,gradable,,,,unacceptable,unacceptable,de required,de required,de required,de required,unacceptable,unacceptable,de required,unacceptable,unacceptable,de required,unacceptable
French,prouver,prove,ratification,typically veridical,contradictory,redundant,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,,,,,,acceptable,unacceptable,??,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,?,unacceptable
