language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,P-to-Q distributivity
Kîîtharaka,rîganîrua,forget,doxastic:change of state,always veridical,contardictory,redundant,typically projective,non neg-raising,incompatible,compatible,typically,incompatible,compatible,typically,compatible,compatible,typically,focus sensitive,gradable,typically ignorance-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,thooma,learn,doxastic:change of state,typically veridical,neither,neither,always projective,non neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,typically,focus sensitive,gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,incompatioble,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,,doubt,dubitave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,kena,be happy,emotive factive,typically veridical,neither,neither,typically projective,non neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable
Kîîtharaka,rigara,be surprised,emotive factive,typically veridical,neither,redundant,typically projective,non neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,typically,focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable
Kîîtharaka,kwîrira,regret,emotive factive,typically veridical,neither,redundant,typically projective,non neg-raising,typically,incompatible,compatible,typically,incompatible,compatible,incompatible,always,incompatible,focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,ûria,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance implying,non-gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,,be curious,inguisitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,ûrithîria,inquire,inguisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,cûnkûûna,investigate,inguisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Kîîtharaka,rigara,wonder,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,ma required,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable
Kîîtharaka,ona,see,perception,typically veridical,undecided,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,not focus sensitive,gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Kîîtharaka,menyeera,care,predicate of relevance,typically veridical,neither,neither,neither,non-neg raising,typically,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Kîîtharaka,onania,prove,ratification,typically veridical,neither,neither,typically projective,non neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,not focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
