language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,FINITE DECLARATIVE: na + subjunctive pres,FINITE DECLARATIVE: na + subjunctive past,FINITE DECLARATIVE: pu + indicative,mipos clauses: indicative,mipos clauses: subjunctive pres,mipos clauses: subjunctive past,d-linked constituent interrogative clause: indicative,d-linked constituent interrogative clause: subjunctive pres,d-linked constituent interrogative clause: subjunctive past,non-d-linked constituent interrogative clause: indicative,non-d-linked constituent interrogative clause: subjunctive pres,non-d-linked constituent interrogative clause: subjunctive past,polar interrogative clause,alternative interrogative clause,non-d-linked constituent interrogative clause with main clause syntax,polar interrogative clause with main clause syntax,concealed questions,intransitive use
Greek,me njazi,care,predicates of relevance,typically veridical,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,undecided,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,ghnorizo,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable?,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable
Greek,ghrafo,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,undecided,undecided,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,dhehome,accept,assessment,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,acceptable,acceptable,unacceptable,undecided,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,undecided
Greek,dhilono,assert,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable?,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Greek,djatazo,order,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Greek,ime sighuros,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive,gradable,always belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,ekplisome,be surprised,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,elpizo,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,,,,,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,enimerono,inform,communication,neither,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,undecided
Greek,exigho,explain,communication,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable?,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable?,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable
Greek,erevno,investigate,inquisitive,,,,,,,,,,,,,,,,,typically ignorance implying,non-gradable,,,,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,undecided,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable
Greek,eho dhikio,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,undecided,undecided,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,thelo,want ,desiderative,neither,neither,neither,neither,always neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,,,,,unacceptable,acceptable,unacceptable,acceptable?,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,ishirizome,claim,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,undecided
Greek,kano lathos,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,non-neg-raising,compatible,typically,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,undecided,unacceptable,acceptable,undecided,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,leo,tell ,communication,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable?,acceptable,unacceptable,acceptable?,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,matheno,learn,doxastic: change of state,typically veridical,neither,neither,typically projective,non-neg-raising,typically/always,compatible/incompatible,compatible/incompatible,typically/always,compatible/incompatible,compatible/incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable
Greek,metaniono,regret,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,,,,,,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,nomizo,think,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,non-focus sensitive,non-gradable,,,,,,acceptable,acceptable?,acceptable?,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,xehnao,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically ignorance implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,paraponieme,complain,communication,typically veridical,neither,redundant,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,incompatible,always,incompatible,focus sensitive,gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,pithome,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,perimeno,expect,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,non-focus sensitive,gradable,always belief-implying,U,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable?,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Greek,pistevo,believe,doxastic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,,,,,,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,roto na matho,inquire,inquisitive,,,,,,,,,,,,,,,,,typically ignorance implying,non-gradable,,,,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,prosefhome,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,acceptable,acceptable,acceptable,unacceptable,undecided,unacceptable,unacceptable,undecided,undecided,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,protino,propose,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,non-gradable,typically belief-implying,,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Greek,protimo,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,unacceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,rotao,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance implying,non-gradable,,,,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,simfono,agree with X [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,non-focus sensitive,gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,ipotheto,assume,doxastic,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Greek,ipopsiazome,suspect,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,non-focus sensitive,gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable
Greek,fovame,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,undecided,undecided,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,herome,be happy,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,psithirizo,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable?,acceptable?,acceptable,unacceptable,acceptable,acceptable
Greek,ipostirizo,argue,commincation,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,undecided,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,ime perierghos,be curious,inquisitive ,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
