language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,P-to-Q distributivity
Hindi,faisla,decide,decision,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,undecided,typically Q-to-P veridical,Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,incompatible,No
Hindi,anurodh,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,typically,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hukum,order,directive,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,typically,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,,propose,directive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,sahmat,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,undecided,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,,assume,doxastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,nishcit,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,,be convinced,doxastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,anjaan,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,typically,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,neutral between belief and ignorance,undecided,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,maan-ta,believe,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,No
Hindi,apeksha,expect,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,compatible,always,incompatible,incompatible,not focus sensitive,gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,No
Hindi,jaan,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,,suspect,doxastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,soch-,think,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,sahi,be right ,doxastic evaluative,always veridical,contradictory,redundant,neither,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,galat,be wrong,doxastic evaluative,always anti-veridicial,redundant,contradictory,neither,non-neg-raising,incompatible,always,incompatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,bhool-,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,seekh-,learn,doxastic: change of state,neither,neither,neither,always projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,neutral between belief and ignorance,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,shak,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,khush,be happy,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hairaan,be surprised,emotive factive,always veridical,contradictory,redundant,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,,,,,,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,khed,regret,emotive factive,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,,,,,,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,pooch-,ask,inquisitive,,,,,,,,,,,,,,,,,,,,,,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,
Hindi,,be curious,inquisitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,,inquire,inquisitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,jaach-partal,investigate,inquisitive,,,,,,,,,,,,,,,,,,,,,,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,,wonder,inquisitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,dekh-,see,perception,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical ,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,compatible,compatible,
Hindi,parvah,care,predicates of relevance,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatibe,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,focus sensitive,gradable,ignorance-implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,No
Hindi,saabit,prove,ratification,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,neutral between belief and ignorance,undecided,Q-to-P veridical,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,incompatible,compatible,compatible,compatible,compatible,incompatible,
