language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,concealed q,P-to-Q distributivity
Dutch,mededelen,assert,communication,typically veridical,neither,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,beweren,claim,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,typically belief-implying,undecided,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(er),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Dutch,klagen,complain,communication,typically veridical,neither,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(over),*(over),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,*(over),unacceptable,*(over),acceptable
Dutch,uitleggen,explain,communication,always veridical,contradictory,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,inlichten,inform,communication,typically veridical,neither,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,?(over),acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,*(over),unacceptable
Dutch,vertellen,tell ,communication,typically veridical,neither,redundant,typically projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,typically belief-implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,fluisteren,whisper,communication: manner of saying,neither,neither,redundant,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,?(RECIPIENT),unacceptable,acceptable,acceptable
Dutch,schrijven,write,communication: manner of saying,typically veridical,neither,redundant,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,typically belief-implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,besluiten,decide,decision,typically veridical,neither,redundant,typically projective,typically neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,eisen,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Dutch,bevelen,order,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,*(RECIPIENT),*(RECIPIENT),unacceptable,acceptable
Dutch,voorstellen,propose,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,neutral between belief and ignorance,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,het eens zijn,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(over),*(over),*(over),unacceptable,unacceptable,*(om),acceptable,acceptable,*(over),acceptable
Dutch,aannemen,assume,doxastic,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,?,?,acceptable,unacceptable
Dutch,er zeker van zijn,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,undecided,undecided
Dutch,ervan overtuigd zijn,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable
Dutch,zich er onbewust van zijn,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,acceptable,undecided
Dutch,geloven,believe,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
Dutch,verwachten,expect,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,??,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Dutch,weten,know,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,vermoeden,suspect,doxastic,neither,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,denken,think,doxastic,neither,neither,neither,neither,always neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
Dutch,gelijk hebben,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,typically belief-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(over),*(over),*(over),*(over),unacceptable,unacceptable,*(om),*(over),*(over),*(over),acceptable
Dutch,ongelijk hebben,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,always projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(over),*(over),*(over),*(over),unacceptable,unacceptable,*(om),*(over),*(over),*(over),acceptable
Dutch,vergeten,forget,doxastic: change of state,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically ignorance implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,leren,learn,doxastic: change of state,neither,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,undecided,typically belief-implying,undecided,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,bewijfelen,doubt,dubitative,neither,neither,neither,typically projective,non-neg-raising,incompatible,typically,compatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,typically ignorance implying,undecided,typically Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,Blij zijn,be happy,emotive factive,always veridical,neither,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(over),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,*(over),acceptable
Dutch,verbaasd zijn,be surprised,emotive factive,always veridical,neither,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(over),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,*(over),acceptable
Dutch,betreuren,regret,emotive factive,always veridical,neither,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,always belief-implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,*(er),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,vragen,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance implying,non-gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,*(RECIPIENT),acceptable,acceptable,acceptable,unacceptable
Dutch,nieuwsgierig zijn,be curious,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,*(naar),acceptable
Dutch,navragen,inquire,inquisitive,,,,,,,,,,,,,,,,,typically belief-implying,non-gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable
Dutch,onderzoeken,investigate,inquisitive,,,,,,,,,,,,,,,,,typically belief-implying,undecided,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable
Dutch,zich afvragen,wonder,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable
Dutch,zien,see,perception,always veridical,contradictory,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Dutch,Het interesseert iem.,care (it interests sb ...),predicates of relevance,always veridical,neither,redundant,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Dutch,bewijzen,prove,ratification,always veridical,neither,redundant,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,undecided,always belief-implying,undecided,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
